,name,t_wins,t_losses,t_nc,t_draws,total,rounds,kd,kd_round,win_p,sig_strikes,sig_strikes_att,rounds_per_fight,time_min,time_per_fight,sig_str_per_min,ground_control
27,Alejandro Perez,7.0,3.0,0.0,1.0,11.0,25.0,0.0,0.0,0.6363636363636364,404.0,1143.0,2.272727272727273,114.64999999999999,10.422727272727272,3.5237679895333627,7.566666666666667
28,Aleksa Camur,1.0,1.0,0.0,0.0,2.0,6.0,0.0,0.0,0.5,97.0,195.0,3.0,30.0,15.0,3.2333333333333334,5.433333333333334
29,Aleksandra Albu,2.0,2.0,0.0,0.0,4.0,9.0,0.0,0.0,0.5,191.0,405.0,2.25,39.58333333333333,9.895833333333332,4.825263157894738,6.366666666666666
30,Aleksei Kunchenko,2.0,2.0,0.0,0.0,4.0,12.0,0.0,0.0,0.5,220.0,496.0,3.0,60.0,15.0,3.6666666666666665,2.1666666666666665
31,Aleksei Oleinik,8.0,5.0,0.0,0.0,13.0,21.0,2.0,0.09523809523809523,0.6153846153846154,280.0,554.0,1.6153846153846154,80.1,6.161538461538461,3.495630461922597,30.483333333333327
32,Alen Amedovski,0.0,2.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,8.0,28.0,2.0,15.283333333333333,7.641666666666667,0.5234460196292258,0.21666666666666667
33,Alessio Di Chirico,3.0,5.0,0.0,0.0,8.0,21.0,2.0,0.09523809523809523,0.375,323.0,793.0,2.625,99.46666666666667,12.433333333333334,3.2473190348525467,10.733333333333334
34,Alessio Sakara,6.0,8.0,0.0,0.0,15.0,22.0,4.0,0.18181818181818182,0.4,299.0,626.0,1.4666666666666666,75.58333333333333,5.038888888888889,3.9558985667034183,20.55
35,Alex Caceres,12.0,10.0,0.0,0.0,23.0,59.0,4.0,0.06779661016949153,0.5217391304347826,1139.0,2276.0,2.5652173913043477,274.18333333333334,11.921014492753624,4.154154762628411,34.6
36,Alex Chambers,1.0,4.0,0.0,0.0,5.0,11.0,0.0,0.0,0.2,135.0,250.0,2.2,45.5,9.1,2.967032967032967,10.383333333333333
37,Alex Garcia,5.0,5.0,0.0,0.0,10.0,25.0,3.0,0.12,0.5,212.0,676.0,2.5,117.06666666666668,11.706666666666667,1.8109339407744873,32.583333333333336
38,Alex Gorgees,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,10.0,31.0,3.0,15.0,15.0,0.6666666666666666,0.0
39,Alex Hunter,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,18.0,30.0,1.0,14.5,7.25,1.2413793103448276,0.0
40,Alex Karalexis,1.0,2.0,0.0,0.0,3.0,6.0,0.0,0.0,0.3333333333333333,42.0,138.0,2.0,20.816666666666666,6.938888888888889,2.0176140912730185,4.366666666666666
41,Alex Morono,6.0,3.0,0.0,0.0,10.0,23.0,3.0,0.13043478260869565,0.6,469.0,1177.0,2.3,106.21666666666667,10.621666666666666,4.415502902871489,5.633333333333334
42,Alex Oliveira,11.0,6.0,0.0,0.0,18.0,42.0,6.0,0.14285714285714285,0.6111111111111112,527.0,1044.0,2.3333333333333335,182.25,10.125,2.8916323731138545,63.75
43,Alex Perez,6.0,1.0,0.0,0.0,7.0,12.0,3.0,0.25,0.8571428571428571,242.0,496.0,1.7142857142857142,51.63333333333333,7.376190476190476,4.686894770819884,20.55
44,Alex Soto,0.0,2.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,47.0,186.0,2.0,15.933333333333334,7.966666666666667,2.9497907949790796,0.9166666666666666
45,Alex White,4.0,6.0,0.0,0.0,10.0,25.0,4.0,0.16,0.4,431.0,1026.0,2.5,114.68333333333334,11.468333333333334,3.758174683912222,8.783333333333333
46,Alexa Grasso,4.0,3.0,0.0,0.0,7.0,19.0,0.0,0.0,0.5714285714285714,496.0,1159.0,2.7142857142857144,92.73333333333333,13.247619047619049,5.348670021567218,8.283333333333333
47,Alexander Gustafsson,10.0,7.0,0.0,0.0,17.0,43.0,9.0,0.20930232558139536,0.5882352941176471,746.0,1837.0,2.5294117647058822,185.35,10.902941176470588,4.0248179120582686,30.53333333333333
48,Alexander Hernandez,3.0,2.0,0.0,0.0,5.0,11.0,1.0,0.09090909090909091,0.6,155.0,398.0,2.2,48.83333333333334,9.76666666666667,3.1740614334470982,9.016666666666667
49,Alexander Volkanovski,9.0,0.0,0.0,0.0,9.0,28.0,4.0,0.14285714285714285,1.0,821.0,1468.0,3.111111111111111,136.28333333333336,15.142592592592596,6.024214259508376,36.11666666666667
50,Alexander Volkov,5.0,2.0,0.0,0.0,7.0,24.0,2.0,0.08333333333333333,0.7142857142857143,588.0,1009.0,3.4285714285714284,114.95,16.42142857142857,5.115267507612005,9.4
51,Alexander Yakovlev,3.0,5.0,0.0,0.0,8.0,20.0,2.0,0.1,0.375,172.0,364.0,2.5,96.18333333333334,12.022916666666667,1.7882516028417952,13.016666666666666
52,Alexandr Romanov,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,55.0,147.0,2.0,9.366666666666667,9.366666666666667,5.871886120996441,8.25
53,Alexandre Pantoja,6.0,3.0,0.0,0.0,9.0,21.0,3.0,0.14285714285714285,0.6666666666666666,408.0,858.0,2.3333333333333335,97.06666666666666,10.785185185185185,4.2032967032967035,22.416666666666668
