TDP_1,TDP_2,TD_1,TD_2,ctrl_1,ctrl_2,details,event_date,event_loc,event_name,f1_res,f2_res,fight_class,fight_result,fighter_name_1,fighter_name_2,judge_1,judge_2,judge_3,kd_1,kd_2,method,r1_TDP_1,r1_TDP_2,r1_TD_1,r1_TD_2,r1_ctrl_1,r1_ctrl_2,r1_rev_1,r1_rev_2,r1_sig_strP_1,r1_sig_strP_2,r1_sig_str_1,r1_sig_str_2,r1_sub_att_1,r1_sub_att_2,r1_tot_str_1,r1_tot_str_2,referee,rev_1,rev_2,round,sig_strP_1,sig_strP_2,sig_str_1,sig_str_2,sub_att_1,sub_att_2,time,time_format,tot_body_1,tot_body_2,tot_clinch_1,tot_clinch_2,tot_dist_1,tot_dist_2,tot_ground_1,tot_ground_2,tot_head_1,tot_head_2,tot_leg_1,tot_leg_2,tot_str_1,tot_str_2
0%,8%,"0,9","1,12",5:24,2:15,Judge,"February 23, 2013","Anaheim, California, USA",UFC 157: Rousey vs Carmouche,W,L,Featherweight Bout,"W,Dennis Bermudez,""The Menace"",L,Matt Grice,""The Real One""",Dennis Bermudez,Matt Grice,Wade Vierra-29 - 28.,Michael Bell-28 - 29.,Mike Beltran-28 - 29.,1,1,Decision - Split,0%,0%,"0,4","0,4",1:43,0:50,0,0,62%,60%,"41,66","35,58",1,0,"60,85","39,62",Herb Dean,0,0,3,57%,50%,"120,209","82,162",2,0,5:00,3 Rnd (5-5-5),"16,25","17,24","37,56","41,67","42,103","39,90","41,50","2,5","89,167","49,120","15,17","16,18","181,277","91,171"
20%,---,"1,5","0,0",2:08,0:51,Rear Naked Choke,"February 23, 2013","Anaheim, California, USA",UFC 157: Rousey vs Carmouche,W,L,Lightweight Bout,"W,Michael Chiesa,""Maverick"",L,Anton Kuivanen",Michael Chiesa,Anton Kuivanen,,,,0,0,Submission,33%,---,"1,3","0,0",0:35,0:31,0,0,11%,36%,"5,45","18,49",0,0,"7,47","18,49",John McCarthy,0,0,2,10%,32%,"5,50","18,55",2,0,2:29,3 Rnd (5-5-5),"2,4","7,13","2,4","5,5","3,46","13,50","0,0","0,0","3,46","11,42","0,0","0,0","9,54","18,55"
62%,100%,"5,8","1,1",12:02,0:55,Judge,"February 23, 2013","Anaheim, California, USA",UFC 157: Rousey vs Carmouche,W,L,Heavyweight Bout,"W,Brendan Schaub,""Big Brown"",L,Lavar Johnson,""Big""",Brendan Schaub,Lavar Johnson,Mike Beltran-27 - 30.,Derek Cleary-27 - 30.,Cecil Peoples-27 - 30.,0,0,Decision - Unanimous,66%,100%,"2,3","1,1",4:03,0:27,1,0,66%,72%,"4,6","16,22",1,0,"12,18","46,54",Jason Herzog,1,0,3,58%,69%,"18,31","36,52",1,0,5:00,3 Rnd (5-5-5),"2,2","10,11","5,7","17,20","1,5","1,10","12,19","18,22","16,27","18,32","0,2","8,9","77,108","170,213"
33%,---,"2,6","0,0",3:14,0:14,Punches to Head On Ground,"February 23, 2013","Anaheim, California, USA",UFC 157: Rousey vs Carmouche,L,W,Welterweight Bout,"L,Josh Koscheck,W,Robbie Lawler,""Ruthless""",Josh Koscheck,Robbie Lawler,,,,0,0,KO/TKO,33%,---,"2,6","0,0",3:14,0:14,0,0,50%,60%,"2,4","9,15",0,0,"5,7","16,22",Herb Dean,0,0,1,50%,60%,"2,4","9,15",0,0,3:57,3 Rnd (5-5-5),"1,1","2,2","0,0","2,2","0,2","0,4","2,2","7,9","1,3","7,13","0,0","0,0","5,7","16,22"
40%,---,"2,5","0,0",4:48,0:04,Judge,"February 23, 2013","Anaheim, California, USA",UFC 157: Rousey vs Carmouche,W,L,Welterweight Bout,"W,Court McGee,""The Crusher"",L,Josh Neer,""The Dentist""",Court McGee,Josh Neer,Michael Bell-27 - 30.,Mike Beltran-27 - 30.,Wade Vierra-27 - 30.,0,0,Decision - Unanimous,---,---,"0,0","0,0",0:46,0:00,0,0,51%,34%,"74,145","15,43",0,0,"78,150","15,43",John McCarthy,0,0,3,49%,41%,"166,334","63,152",0,0,5:00,3 Rnd (5-5-5),"34,47","11,14","15,24","11,15","129,275","52,137","22,35","0,0","116,270","45,131","16,17","7,7","198,368","71,160"
---,100%,"0,0","1,1",4:02,0:04,Rear Naked Choke,"February 23, 2013","Anaheim, California, USA",UFC 157: Rousey vs Carmouche,W,L,Bantamweight Bout,"W,Urijah Faber,""The California Kid"",L,Ivan Menjivar,""The Pride of El Salvador""",Urijah Faber,Ivan Menjivar,,,,0,0,Submission,---,100%,"0,0","1,1",4:02,0:04,1,0,70%,42%,"17,24","3,7",1,0,"29,36","19,23",Jason Herzog,1,0,1,70%,42%,"17,24","3,7",1,0,4:34,3 Rnd (5-5-5),"1,1","0,1","1,1","2,3","1,3","1,3","15,20","0,1","16,23","3,6","0,0","0,0","29,36","19,23"
100%,33%,"1,1","1,3",0:05,1:53,Judge,"February 23, 2013","Anaheim, California, USA",UFC 157: Rousey vs Carmouche,W,L,Light Heavyweight Bout,"W,Lyoto Machida,""The Dragon"",L,Dan Henderson,""Hendo""",Lyoto Machida,Dan Henderson,Cecil Peoples-29 - 28.,Michael Bell-28 - 29.,Derek Cleary-28 - 29.,0,0,Decision - Split,100%,---,"1,1","0,0",0:05,0:00,0,0,55%,42%,"10,18","12,28",0,0,"10,18","13,29",Herb Dean,0,0,3,50%,31%,"27,54","20,64",0,0,5:00,3 Rnd (5-5-5),"9,14","5,9","0,0","5,7","23,50","14,55","4,4","1,2","17,36","5,31","1,4","10,24","28,55","54,98"
100%,---,"1,1","0,0",3:47,0:52,Armbar On Ground,"February 23, 2013","Anaheim, California, USA",UFC 157: Rousey vs Carmouche,W,L,UFC Women's Bantamweight Title Bout,"W,Ronda Rousey,""Rowdy"",L,Liz Carmouche,""Girlrilla""",Ronda Rousey,Liz Carmouche,,,,0,0,Submission,100%,---,"1,1","0,0",3:47,0:52,0,0,50%,66%,"7,14","4,6",1,1,"41,50","22,24",John McCarthy,0,0,1,50%,66%,"7,14","4,6",1,1,4:49,5 Rnd (5-5-5-5-5),"1,1","0,0","2,2","1,1","1,5","3,5","4,7","0,0","6,13","4,6","0,0","0,0","41,50","22,24"
---,6%,"0,0","1,15",1:11,7:51,Judge,"February 16, 2013","London, England, United Kingdom",UFC on FUEL TV: Barao vs McDonald,W,L,Bantamweight Bout,"W,Vaughan Lee,L,Motonobu Tezuka",Vaughan Lee,Motonobu Tezuka,Tom Harris-27 - 30.,Andy Roberts-27 - 30.,Chris Lee-27 - 30.,0,0,Decision - Unanimous,---,0%,"0,0","0,5",0:00,2:54,0,0,45%,20%,"5,11","2,10",0,0,"48,54","11,21",Leon Roberts,0,0,3,41%,11%,"20,48","4,35",0,1,5:00,3 Rnd (5-5-5),"9,14","0,0","12,18","0,1","6,28","4,34","2,2","0,0","7,28","1,28","4,6","3,7","164,192","17,56"
---,83%,"0,0","5,6",4:24,2:40,Knee to Body In Clinch,"February 16, 2013","London, England, United Kingdom",UFC on FUEL TV: Barao vs McDonald,W,L,Middleweight Bout,"W,Tom Watson,""Kong"",L,Stanislav Nedkov,""Stucky""",Tom Watson,Stanislav Nedkov,,,,1,0,KO/TKO,---,100%,"0,0","1,1",2:35,0:42,0,0,51%,48%,"24,47","28,58",0,0,"29,52","40,72",Kevin Mulhall,0,0,2,54%,50%,"56,102","39,78",0,0,4:42,3 Rnd (5-5-5),"23,34","13,16","50,81","19,29","3,16","5,18","3,5","15,31","31,66","26,62","2,2","0,0","72,118","61,102"
