TDP_1,TDP_2,TD_1,TD_2,ctrl_1,ctrl_2,details,event_date,event_loc,event_name,f1_res,f2_res,fight_class,fight_result,fighter_name_1,fighter_name_2,judge_1,judge_2,judge_3,kd_1,kd_2,method,r1_TDP_1,r1_TDP_2,r1_TD_1,r1_TD_2,r1_ctrl_1,r1_ctrl_2,r1_rev_1,r1_rev_2,r1_sig_strP_1,r1_sig_strP_2,r1_sig_str_1,r1_sig_str_2,r1_sub_att_1,r1_sub_att_2,r1_tot_str_1,r1_tot_str_2,referee,rev_1,rev_2,round,sig_strP_1,sig_strP_2,sig_str_1,sig_str_2,sub_att_1,sub_att_2,time,time_format,tot_body_1,tot_body_2,tot_clinch_1,tot_clinch_2,tot_dist_1,tot_dist_2,tot_ground_1,tot_ground_2,tot_head_1,tot_head_2,tot_leg_1,tot_leg_2,tot_str_1,tot_str_2
---,100%,"0,0","1,1",2:39,0:35,Scalp Cut,"February 05, 2005","Las Vegas, Nevada, USA",UFC 51: Super Saturday,W,L,Middleweight Bout,"W,David Loiseau,""The Crow"",L,Gideon Ray",David Loiseau,Gideon Ray,,,,2,0,TKO - Doctor's Stoppage,---,100%,"0,0","1,1",2:39,0:35,0,0,50%,47%,"17,34","11,23",1,0,"25,43","12,24",Steve Mazzagatti,0,0,1,50%,47%,"17,34","11,23",1,0,5:00,3 Rnd (5-5-5),"1,2","4,5","3,3","6,6","2,11","4,16","12,20","1,1","16,31","2,12","0,1","5,6","25,43","12,24"
100%,---,"1,1","0,0",1:23,0:06,Punch to Head At Distance,"February 05, 2005","Las Vegas, Nevada, USA",UFC 51: Super Saturday,W,L,Heavyweight Bout,"W,Mike Kyle,""MAK"",L,James Irvin,""The Sandman""",Mike Kyle,James Irvin,,,,1,0,KO/TKO,100%,---,"1,1","0,0",1:23,0:06,0,0,66%,50%,"10,15","3,6",0,0,"30,39","3,6",Herb Dean,0,0,1,66%,50%,"10,15","3,6",0,0,1:55,3 Rnd (5-5-5),"3,3","1,1","2,3","1,1","5,8","2,5","3,4","0,0","7,12","1,4","0,0","1,1","30,39","3,6"
---,---,"0,0","0,0",0:03,1:18,Punches to Head At Distance,"February 05, 2005","Las Vegas, Nevada, USA",UFC 51: Super Saturday,W,L,Heavyweight Bout,"W,Paul Buentello,""The Headhunter"",L,Justin Eilers,""The Hammer""",Paul Buentello,Justin Eilers,,,,1,0,KO/TKO,---,---,"0,0","0,0",0:03,1:18,0,0,44%,25%,"22,50","7,28",0,0,"24,52","15,37",Steve Mazzagatti,0,0,1,44%,25%,"22,50","7,28",0,0,3:34,3 Rnd (5-5-5),"3,3","0,3","3,4","6,7","18,45","1,21","1,1","0,0","12,38","3,19","7,9","4,6","24,52","15,37"
---,100%,"0,0","2,2",3:09,0:21,Punches to Head From Half Guard,"February 05, 2005","Las Vegas, Nevada, USA",UFC 51: Super Saturday,W,L,UFC Middleweight Title Bout,"W,Evan Tanner,L,David Terrell,""The Soul Assassin""",Evan Tanner,David Terrell,,,,0,0,KO/TKO,---,100%,"0,0","2,2",3:09,0:21,0,0,67%,44%,"19,28","4,9",0,1,"62,77","4,11",Herb Dean,0,0,1,67%,44%,"19,28","4,9",0,1,4:35,5 Rnd (5-5-5-5-5),"1,1","0,0","1,1","3,5","0,0","1,4","18,27","0,0","18,27","3,7","0,0","1,2","62,77","4,11"
---,---,"0,0","0,0",0:08,0:00,Ankle Lock After Drop to Ground,"February 05, 2005","Las Vegas, Nevada, USA",UFC 51: Super Saturday,W,L,UFC Interim Heavyweight Title Bout,"W,Andrei Arlovski,""The Pitbull"",L,Tim Sylvia,""The Maine-iac""",Andrei Arlovski,Tim Sylvia,,,,1,0,Submission,---,---,"0,0","0,0",0:08,0:00,0,0,50%,50%,"5,10","2,4",2,0,"5,10","2,4",John McCarthy,0,0,1,50%,50%,"5,10","2,4",2,0,0:47,5 Rnd (5-5-5-5-5),"0,0","0,0","0,0","0,0","5,6","2,4","0,4","0,0","1,6","1,3","4,4","1,1","5,10","2,4"
25%,66%,"1,4","4,6",4:22,6:16,Guillotine Choke From Bottom Half Guard,"February 05, 2005","Las Vegas, Nevada, USA",UFC 51: Super Saturday,W,L,Middleweight Bout,"W,Pete Sell,""Drago"",L,Phil Baroni,""The New York Bad Ass""",Pete Sell,Phil Baroni,,,,0,0,Submission,25%,0%,"1,4","0,1",4:22,0:00,0,0,52%,50%,"9,17","5,10",0,0,"43,59","13,18",Mario Yamasaki,1,0,3,32%,42%,"16,49","17,40",1,0,4:19,3 Rnd (5-5-5),"3,3","2,3","5,5","3,3","7,34","7,28","4,10","7,9","10,43","15,37","3,3","0,0","90,136","73,102"
36%,---,"4,11","0,0",9:23,3:06,Judge,"February 05, 2005","Las Vegas, Nevada, USA",UFC 51: Super Saturday,W,L,Light Heavyweight Bout,"W,Tito Ortiz,""The People's Champ"",L,Vitor Belfort,""The Phenom""",Tito Ortiz,Vitor Belfort,Nelson Hamilton-28 - 29.,Cecil Peoples-28 - 29.,Jeff Mullen-29 - 28.,0,0,Decision - Split,25%,---,"1,4","0,0",3:28,0:14,0,0,80%,45%,"16,20","9,20",0,0,"32,41","14,25",John McCarthy,0,1,3,57%,50%,"27,47","19,38",0,1,5:00,3 Rnd (5-5-5),"2,4","2,2","8,10","8,16","1,6","1,5","18,31","10,17","20,38","16,35","5,5","1,1","101,130","44,65"
0%,0%,"0,2","0,1",1:00,0:02,Other - Lock From Back Control      Body Triangle,"October 22, 2004","Atlantic City, New Jersey, USA",UFC 50: The War Of '04,W,L,Middleweight Bout,"W,Ivan Salaverry,L,Tony Fryklund,""The Freak""",Ivan Salaverry,Tony Fryklund,,,,1,0,Submission,0%,0%,"0,2","0,1",1:00,0:02,0,0,60%,66%,"9,15","4,6",1,0,"20,29","4,6",Herb Dean,0,0,1,60%,66%,"9,15","4,6",1,0,1:36,3 Rnd (5-5-5),"2,2","1,1","6,9","3,4","0,3","1,2","3,3","0,0","6,11","1,2","1,2","2,3","20,29","4,6"
---,100%,"0,0","1,1",0:00,0:33,Triangle Choke From Bottom Guard,"October 22, 2004","Atlantic City, New Jersey, USA",UFC 50: The War Of '04,W,L,Middleweight Bout,"W,Evan Tanner,L,Robbie Lawler,""Ruthless""",Evan Tanner,Robbie Lawler,,,,0,0,Submission,---,100%,"0,0","1,1",0:00,0:33,0,0,35%,21%,"6,17","3,14",1,0,"6,17","4,15",John McCarthy,0,0,1,35%,21%,"6,17","3,14",1,0,2:22,3 Rnd (5-5-5),"1,1","1,1","0,0","1,1","6,17","1,11","0,0","1,2","2,12","2,13","3,4","0,0","6,17","4,15"
100%,0%,"1,1","0,8",5:01,0:53,Elbows to Head From Half Guard,"October 22, 2004","Atlantic City, New Jersey, USA",UFC 50: The War Of '04,W,L,Welterweight Bout,"W,Frank Trigg,""Twinkle Toes"",L,Renato Verissimo,""Charuto""",Frank Trigg,Renato Verissimo,,,,0,0,KO/TKO,100%,0%,"1,1","0,5",3:29,0:44,0,0,44%,23%,"15,34","3,13",0,2,"30,50","9,19",Herb Dean,0,0,2,55%,19%,"33,59","4,21",0,2,2:11,3 Rnd (5-5-5),"6,10","0,1","9,16","2,8","5,16","2,13","19,27","0,0","26,48","2,18","1,1","2,2","65,93","10,27"
28%,100%,"2,7","1,1",2:20,0:17,Armbar From Side Control,"October 22, 2004","Atlantic City, New Jersey, USA",UFC 50: The War Of '04,W,L,UFC Welterweight Title Bout,"W,Matt Hughes,L,Georges St-Pierre,""Rush""",Matt Hughes,Georges St-Pierre,,,,0,0,Submission,28%,100%,"2,7","1,1",2:20,0:17,0,0,28%,35%,"4,14","6,17",2,0,"8,21","12,24",John McCarthy,0,0,1,28%,35%,"4,14","6,17",2,0,4:59,5 Rnd (5-5-5-5-5),"1,1","2,2","1,1","1,1","3,11","5,16","0,2","0,0","3,13","4,15","0,0","0,0","8,21","12,24"
100%,0%,"3,3","0,1",9:35,0:50,Armbar From Mount,"October 22, 2004","Atlantic City, New Jersey, USA",UFC 50: The War Of '04,W,L,Middleweight Bout,"W,Rich Franklin,""Ace"",L,Jorge Rivera,""El Conquistador""",Rich Franklin,Jorge Rivera,,,,1,0,Submission,100%,---,"1,1","0,0",3:03,0:12,0,0,67%,58%,"25,37","10,17",0,0,"45,57","19,26",Mario Yamasaki,0,0,3,56%,53%,"41,73","22,41",1,0,4:28,3 Rnd (5-5-5),"11,19","13,17","26,45","17,27","6,14","5,14","9,14","0,0","27,51","9,24","3,3","0,0","84,116","60,81"
66%,0%,"2,3","0,1",12:41,0:00,Judge,"October 22, 2004","Atlantic City, New Jersey, USA",UFC 50: The War Of '04,W,L,Light Heavyweight Bout,"W,Tito Ortiz,""The People's Champ"",L,Patrick Cote,""The Predator""",Tito Ortiz,Patrick Cote,Cecil Peoples-26 - 30.,Abe Belardo-27 - 30.,Jeff Mullen-27 - 30.,0,0,Decision - Unanimous,100%,---,"1,1","0,0",4:30,0:00,0,0,73%,37%,"17,23","3,8",0,0,"62,68","9,14",John McCarthy,0,0,3,60%,40%,"45,75","11,27",0,0,5:00,3 Rnd (5-5-5),"3,3","0,0","0,0","2,2","1,5","7,22","44,70","2,3","42,72","11,27","0,0","0,0","166,202","26,42"
100%,---,"3,3","0,0",2:36,0:01,Rear Naked Choke,"June 24, 2006","Las Vegas, Nevada, USA",The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale,W,L,Light Heavyweight Bout,"W,Mike Nickels,L,Wes Combs,""The Soldier""",Mike Nickels,Wes Combs,,,,0,0,Submission,100%,---,"3,3","0,0",2:36,0:01,0,0,59%,33%,"22,37","4,12",1,0,"41,56","17,32",Mario Yamasaki,0,0,1,59%,33%,"22,37","4,12",1,0,3:10,3 Rnd (5-5-5),"10,14","0,2","8,14","2,5","1,4","2,7","13,19","0,0","12,23","3,9","0,0","1,1","41,56","17,32"
100%,0%,"1,1","0,1",1:10,0:10,Knee to Head In Clinch,"June 28, 2006","Las Vegas, Nevada, USA",UFC Fight Night 5,W,L,Middleweight Bout,"W,Jorge Santiago,""The Sandman"",L,Justin Levens,""The Executioner""",Jorge Santiago,Justin Levens,,,,1,0,KO/TKO,100%,0%,"1,1","0,1",1:10,0:10,0,0,60%,0%,"9,15","0,6",0,0,"14,20","1,7",Mario Yamasaki,0,0,1,60%,0%,"9,15","0,6",0,0,2:13,3 Rnd (5-5-5),"1,1","0,1","3,3","0,2","1,2","0,4","5,10","0,0","8,14","0,5","0,0","0,0","14,20","1,7"
100%,55%,"1,1","5,9",0:36,7:15,Rear Naked Choke,"July 08, 2006","Las Vegas, Nevada, USA",UFC 61: Bitter Rivals,W,L,Welterweight Bout,"W,Drew Fickett,""The Master"",L,Kurt Pellegrino,""Batman""",Drew Fickett,Kurt Pellegrino,,,,0,0,Submission,---,50%,"0,0","2,4",0:00,3:13,0,0,52%,48%,"11,21","16,33",0,0,"26,38","51,70",Steve Mazzagatti,1,0,3,51%,53%,"18,35","25,47",2,0,1:20,3 Rnd (5-5-5),"4,4","10,11","3,4","7,11","9,23","5,19","6,8","13,17","11,28","13,33","3,3","2,3","70,92","84,114"
---,0%,"0,0","0,1",1:07,0:15,Rear Naked Choke,"August 17, 2006","Las Vegas, Nevada, USA",UFC Fight Night 6,W,L,Welterweight Bout,"W,Anthony Torres,""The Crush"",L,Pat Healy,""Bam Bam""",Anthony Torres,Pat Healy,,,,0,0,Submission,---,0%,"0,0","0,1",1:07,0:15,0,0,47%,50%,"11,23","13,26",1,0,"35,48","20,33",Steve Mazzagatti,0,0,1,47%,50%,"11,23","13,26",1,0,2:37,3 Rnd (5-5-5),"1,1","3,3","3,6","4,5","5,14","9,21","3,3","0,0","10,22","8,21","0,0","2,2","35,48","20,33"
55%,0%,"5,9","0,1",6:25,1:40,Judge,"August 26, 2006","Las Vegas, Nevada, USA",UFC 62: Liddell vs Sobral,W,L,Middleweight Bout,"W,Yushin Okami,""Thunder"",L,Alan Belcher,""The Talent""",Yushin Okami,Alan Belcher,Cecil Peoples-27 - 30.,Lester Griffin-27 - 30.,Adalaide Byrd-28 - 29.,0,0,Decision - Unanimous,50%,---,"1,2","0,0",1:14,0:00,0,0,21%,6%,"5,23","2,32",0,0,"9,27","2,32",Herb Dean,0,1,3,25%,14%,"12,47","8,55",0,0,5:00,3 Rnd (5-5-5),"0,0","0,2","0,0","1,1","7,38","7,54","5,9","0,0","9,44","5,48","3,3","3,5","59,97","18,66"
100%,---,"1,1","0,0",1:35,0:00,Rear Naked Choke,"September 23, 2006","Anaheim, California, USA",UFC 63: Hughes vs Penn,W,L,Lightweight Bout,"W,Tyson Griffin,L,David Lee",Tyson Griffin,David Lee,,,,0,0,Submission,100%,---,"1,1","0,0",1:35,0:00,0,0,0%,50%,"0,1","1,2",1,0,"7,11","2,3",Steve Mazzagatti,0,0,1,0%,50%,"0,1","1,2",1,0,1:50,3 Rnd (5-5-5),"0,0","0,0","0,0","0,0","0,1","1,2","0,0","0,0","0,1","1,2","0,0","0,0","7,11","2,3"
---,---,"0,0","0,0",0:50,0:21,Guillotine Choke After Drop to Guard,"October 10, 2006","Hollywood, Florida, USA",Ortiz vs Shamrock 3: The Final Chapter,W,L,Welterweight Bout,"W,Marcus Davis,""The Irish Hand Grenade"",L,Forrest Petz,""The Meat Cleaver""",Marcus Davis,Forrest Petz,,,,0,0,Submission,---,---,"0,0","0,0",0:50,0:21,0,0,66%,27%,"33,50","5,18",1,0,"66,88","19,35",Jorge Alonso,0,0,1,66%,27%,"33,50","5,18",1,0,4:58,3 Rnd (5-5-5),"8,9","2,3","20,24","4,9","5,11","1,9","8,15","0,0","17,33","2,14","8,8","1,1","66,88","19,35"
100%,---,"1,1","0,0",1:54,0:00,Rear Naked Choke,"October 14, 2006","Las Vegas, Nevada, USA",UFC 64: Unstoppable,W,L,Lightweight Bout,"W,Kurt Pellegrino,""Batman"",L,Junior Assuncao",Kurt Pellegrino,Junior Assuncao,,,,0,0,Submission,100%,---,"1,1","0,0",1:54,0:00,0,0,55%,16%,"5,9","1,6",1,0,"30,37","3,10",John McCarthy,0,0,1,55%,16%,"5,9","1,6",1,0,2:04,3 Rnd (5-5-5),"0,0","0,0","0,0","0,0","0,0","1,6","5,9","0,0","5,9","1,6","0,0","0,0","30,37","3,10"
---,8%,"0,0","1,12",1:40,2:31,Judge,"November 11, 2006","Las Vegas, Nevada, USA",The Ultimate Fighter: The Comeback Finale,W,L,Middleweight Bout,"W,Martin Kampmann,""The Hitman"",L,Thales Leites",Martin Kampmann,Thales Leites,Marcos Rosales-28 - 29.,Adalaide Byrd-27 - 29.,Glenn Trowbridge-27 - 29.,1,1,Decision - Unanimous,---,25%,"0,0","1,4",0:50,2:09,0,0,32%,48%,"8,25","14,29",0,0,"11,28","20,35",Yves Lavigne,0,0,3,50%,26%,"101,200","46,171",0,0,5:00,3 Rnd (5-5-5),"14,14","7,9","20,26","7,10","79,172","36,153","2,2","3,8","74,173","37,160","13,13","2,2","109,208","53,178"
76%,---,"10,13","0,0",10:22,0:27,Judge,"November 18, 2006","Sacramento, California, USA",UFC 65: Bad Intentions,W,L,Heavyweight Bout,"W,Jake O'Brien,""Irish"",L,Josh Shockman,""The War Hammer""",Jake O'Brien,Josh Shockman,Alejandro Rochin-27 - 30.,Hector Hernandez-27 - 30.,Marcos Rosales-27 - 30.,0,0,Decision - Unanimous,75%,---,"3,4","0,0",4:12,0:11,0,0,58%,42%,"10,17","3,7",0,0,"48,60","22,31",Steve Mazzagatti,0,0,3,41%,32%,"13,31","13,40",0,0,5:00,3 Rnd (5-5-5),"1,1","2,7","0,0","0,0","0,7","13,40","13,24","0,0","12,30","1,22","0,0","10,11","106,132","50,83"
---,60%,"0,0","3,5",3:49,8:58,Judge,"December 13, 2006","San Diego, California, USA",UFC Fight Night: Sanchez vs Riggs,W,L,Middleweight Bout,"W,Logan Clark,L,Steve Byrnes,""The Sergeant""",Logan Clark,Steve Byrnes,Cecil Peoples-27 - 30.,-28 - 29.,Alejandro Rochin-27 - 30.,0,0,Decision - Unanimous,---,50%,"0,0","1,2",2:28,1:47,0,0,75%,25%,"12,16","1,4",2,2,"68,82","3,6",Steve Mazzagatti,1,1,3,72%,51%,"40,55","18,35",2,4,5:00,3 Rnd (5-5-5),"11,13","2,2","14,22","3,3","2,6","1,3","24,27","14,29","27,40","16,33","2,2","0,0","183,219","45,64"
100%,27%,"1,1","3,11",2:59,4:16,Judge,"December 30, 2006","Las Vegas, Nevada, USA",UFC 66: Liddell vs Ortiz 2,W,L,Heavyweight Bout,"W,Christian Wellisch,""The Hungarian Nightmare"",L,Anthony Perosh,""The Hippo""",Christian Wellisch,Anthony Perosh,Lester Griffin-28 - 29.,Jeff Mullen-27 - 29.,Marcos Rosales-28 - 29.,1,1,Decision - Unanimous,100%,0%,"1,1","0,7",1:46,0:41,0,0,32%,40%,"29,90","11,27",0,0,"46,111","12,29",Herb Dean,1,0,3,29%,44%,"61,206","48,107",0,0,5:00,3 Rnd (5-5-5),"1,2","0,1","16,28","16,27","37,157","25,71","8,21","7,9","56,200","40,98","4,4","8,8","98,249","76,137"
100%,---,"1,1","0,0",0:43,0:00,Rear Naked Choke,"January 25, 2007","Hollywood, Florida, USA",UFC Fight Night: Evans vs Salmon,W,L,Welterweight Bout,"W,Rich Clementi,""No Love"",L,Ross Pointon,""The Gladiator""",Rich Clementi,Ross Pointon,,,,0,0,Submission,---,---,"0,0","0,0",0:00,0:00,0,0,33%,24%,"11,33","13,53",0,0,"11,33","13,53",Troy Waugh,0,0,2,36%,22%,"23,63","23,104",1,0,4:53,3 Rnd (5-5-5),"5,7","2,3","0,0","2,4","23,63","21,100","0,0","0,0","8,43","6,86","10,13","15,15","26,66","23,104"
100%,50%,"1,1","4,8",4:14,5:44,Judge,"February 03, 2007","Las Vegas, Nevada, USA",UFC 67: All or Nothing,W,L,Lightweight Bout,"W,Dustin Hazelett,""McLovin"",L,Diego Saraiva,""The Octopus""",Dustin Hazelett,Diego Saraiva,Tony Weeks-27 - 30.,Marcos Rosales-27 - 30.,Dave Hagen-27 - 30.,0,0,Decision - Unanimous,100%,33%,"1,1","1,3",0:58,2:05,0,0,42%,55%,"20,47","5,9",1,0,"20,47","21,26",Yves Lavigne,0,0,3,41%,43%,"44,105","14,32",1,0,5:00,3 Rnd (5-5-5),"2,2","1,1","5,7","0,0","18,47","10,26","21,51","4,6","39,96","12,29","3,7","1,2","83,147","59,78"
100%,---,"1,1","0,0",1:20,0:00,Rear Naked Choke,"March 03, 2007","Columbus, Ohio, USA",UFC 68: The Uprising,W,L,Lightweight Bout,"W,Jamie Varner,L,Jason Gilliam",Jamie Varner,Jason Gilliam,,,,0,0,Submission,100%,---,"1,1","0,0",1:20,0:00,0,0,53%,0%,"7,13","0,2",2,0,"10,16","1,3",Mark Matheny,0,0,1,53%,0%,"7,13","0,2",2,0,1:34,3 Rnd (5-5-5),"0,0","0,0","0,0","0,1","1,1","0,1","6,12","0,0","6,12","0,2","1,1","0,0","10,16","1,3"
66%,50%,"4,6","1,2",5:08,5:55,Judge,"April 05, 2007","Las Vegas, Nevada, USA",UFC Fight Night: Stevenson vs Guillard,W,L,Lightweight Bout,"W,Thiago Tavares,L,Naoyuki Kotani",Thiago Tavares,Naoyuki Kotani,Tony Weeks-27 - 30.,Gene LeBell-27 - 30.,Doug Crosby-27 - 30.,0,0,Decision - Unanimous,66%,---,"2,3","0,0",1:56,1:32,0,1,50%,25%,"2,4","2,8",1,1,"27,31","17,23",Herb Dean,1,3,3,75%,40%,"21,28","12,30",2,1,5:00,3 Rnd (5-5-5),"7,7","1,2","0,0","3,5","5,11","8,22","16,17","1,3","13,18","3,17","1,3","8,11","159,175","72,94"
0%,25%,"0,1","1,4",0:29,0:23,Punches to Head At Distance,"April 07, 2007","Houston, Texas, USA",UFC 69: Shootout,W,L,Welterweight Bout,"W,Luke Cummo,L,Josh Haynes,""Bring the Pain""",Luke Cummo,Josh Haynes,,,,1,0,KO/TKO,0%,33%,"0,1","1,3",0:25,0:23,0,0,34%,17%,"18,52","6,35",0,0,"22,56","11,40",Kerry Hatley,0,0,2,42%,16%,"38,89","9,55",0,0,2:45,3 Rnd (5-5-5),"16,20","3,4","7,12","2,4","31,77","7,51","0,0","0,0","19,66","4,48","3,3","2,3","43,94","15,61"
100%,---,"3,3","0,0",5:31,0:20,Ankle Lock After Drop to Ground,"April 07, 2007","Houston, Texas, USA",UFC 69: Shootout,W,L,Welterweight Bout,"W,Marcus Davis,""The Irish Hand Grenade"",L,Pete Spratt,""The Secret Weapon""",Marcus Davis,Pete Spratt,,,,0,0,Submission,100%,---,"1,1","0,0",4:22,0:20,0,1,40%,0%,"2,5","0,2",0,0,"13,16","8,10",Kerry Hatley,0,1,2,30%,33%,"6,20","7,21",1,0,2:57,3 Rnd (5-5-5),"0,0","1,3","0,1","2,3","5,17","5,16","1,2","0,2","6,20","3,14","0,0","3,4","18,32","15,29"
37%,---,"3,8","0,0",10:54,0:36,Judge,"April 07, 2007","Houston, Texas, USA",UFC 69: Shootout,W,L,Middleweight Bout,"W,Thales Leites,L,Pete Sell,""Drago""",Thales Leites,Pete Sell,Robert Bish-27 - 30.,Gale Van Hoy-26 - 30.,Gregorio Alvarez-27 - 30.,0,0,Decision - Unanimous,50%,---,"1,2","0,0",4:21,0:00,0,0,42%,0%,"6,14","0,1",3,0,"34,43","2,3",Mario Yamasaki,0,0,3,66%,21%,"56,84","3,14",4,2,5:00,3 Rnd (5-5-5),"3,4","2,4","3,5","0,0","12,24","2,11","41,55","1,3","48,75","1,10","5,5","0,0","125,155","14,25"
100%,50%,"1,1","1,2",9:14,1:14,Judge,"April 07, 2007","Houston, Texas, USA",UFC 69: Shootout,W,L,Heavyweight Bout,"W,Heath Herring,""The Texas Crazy Horse"",L,Brad Imes,""Hillbilly Heartthrob""",Heath Herring,Brad Imes,Doug Crosby-28 - 29.,Gale Van Hoy-25 - 30.,Robert Bish-27 - 30.,2,0,Decision - Unanimous,---,100%,"0,0","1,1",4:07,0:03,1,0,67%,0%,"21,31","0,3",0,2,"61,74","1,6",Kerry Hatley,2,0,3,52%,36%,"64,123","19,52",0,2,5:00,3 Rnd (5-5-5),"7,7","3,4","5,9","5,8","26,64","10,36","33,50","4,8","53,112","15,47","4,4","1,1","163,232","35,74"
100%,14%,"1,1","1,7",4:44,2:12,D'Arce Choke From Half Guard,"April 07, 2007","Houston, Texas, USA",UFC 69: Shootout,W,L,Middleweight Bout,"W,Kendall Grove,""Da Spyder"",L,Alan Belcher,""The Talent""",Kendall Grove,Alan Belcher,,,,0,0,Submission,---,20%,"0,0","1,5",1:38,1:32,0,0,45%,42%,"17,37","3,7",0,0,"39,59","5,9",John McCarthy,0,0,2,55%,61%,"41,74","8,13",2,0,4:42,3 Rnd (5-5-5),"10,16","5,5","20,29","0,1","13,32","7,11","8,13","1,1","25,52","0,5","6,6","3,3","95,128","10,15"
44%,---,"4,9","0,0",7:14,0:59,Judge,"April 07, 2007","Houston, Texas, USA",UFC 69: Shootout,W,L,Middleweight Bout,"W,Yushin Okami,""Thunder"",L,Mike Swick,""Quick""",Yushin Okami,Mike Swick,Jeff Mullen-28 - 29.,Nelson Hamilton-28 - 29.,Doug Crosby-27 - 30.,0,0,Decision - Unanimous,50%,---,"1,2","0,0",2:23,0:00,0,0,33%,23%,"6,18","8,34",1,0,"28,41","9,35",Mario Yamasaki,0,1,3,50%,28%,"28,55","28,99",2,0,5:00,3 Rnd (5-5-5),"2,2","3,6","4,4","11,15","12,34","16,83","12,17","1,1","24,50","14,77","2,3","11,16","129,170","48,121"
85%,0%,"6,7","0,1",10:08,1:05,Judge,"April 07, 2007","Houston, Texas, USA",UFC 69: Shootout,W,L,Lightweight Bout,"W,Roger Huerta,""El Matador"",L,Leonard Garcia,""Bad Boy""",Roger Huerta,Leonard Garcia,Jeff Mullen-27 - 30.,Nelson Hamilton-27 - 30.,Doug Crosby-27 - 30.,0,0,Decision - Unanimous,66%,---,"2,3","0,0",3:38,0:18,0,1,50%,23%,"23,46","5,21",0,2,"52,78","8,29",Mario Yamasaki,1,2,3,41%,32%,"85,206","29,89",0,2,5:00,3 Rnd (5-5-5),"6,8","3,6","17,41","9,21","19,77","17,63","49,88","3,5","79,198","23,75","0,0","3,8","152,300","58,134"
100%,---,"1,1","0,0",0:14,0:06,Judge,"April 07, 2007","Houston, Texas, USA",UFC 69: Shootout,W,L,Welterweight Bout,"W,Josh Koscheck,L,Diego Sanchez,""Nightmare""",Josh Koscheck,Diego Sanchez,Doug Crosby-27 - 30.,Nelson Hamilton-27 - 30.,Jeff Mullen-27 - 30.,0,0,Decision - Unanimous,100%,---,"1,1","0,0",0:14,0:06,0,1,23%,3%,"7,30","1,27",0,0,"8,31","1,27",John McCarthy,0,1,3,25%,10%,"30,116","12,116",0,0,5:00,3 Rnd (5-5-5),"3,5","0,2","0,0","0,0","30,116","12,116","0,0","0,0","23,107","6,108","4,4","6,6","33,119","12,116"
---,0%,"0,0","0,1",0:00,0:05,Punches to Head At Distance,"April 07, 2007","Houston, Texas, USA",UFC 69: Shootout,W,L,UFC Welterweight Title Bout,"W,Matt Serra,""The Terra"",L,Georges St-Pierre,""Rush""",Matt Serra,Georges St-Pierre,,,,2,0,KO/TKO,---,0%,"0,0","0,1",0:00,0:05,0,0,50%,26%,"20,40","6,23",0,0,"20,40","6,23",John McCarthy,0,0,1,50%,26%,"20,40","6,23",0,0,3:25,5 Rnd (5-5-5-5-5),"3,5","0,0","0,0","0,0","13,29","6,23","7,11","0,0","13,31","4,20","4,4","2,3","20,40","6,23"
87%,---,"7,8","0,0",11:50,0:08,Judge,"April 05, 2007","Las Vegas, Nevada, USA",UFC Fight Night: Stevenson vs Guillard,W,L,Welterweight Bout,"W,Roan Carneiro,""Jucao"",L,Rich Clementi,""No Love""",Roan Carneiro,Rich Clementi,Jeff Mullen-27 - 30.,Chris Lee-27 - 30.,Lester Griffin-27 - 30.,0,0,Decision - Unanimous,100%,---,"2,2","0,0",3:09,0:00,0,0,66%,33%,"8,12","4,12",0,0,"16,20","18,26",Yves Lavigne,0,0,3,61%,33%,"22,36","9,27",4,0,5:00,3 Rnd (5-5-5),"4,4","2,2","9,10","3,6","7,12","6,21","6,14","0,0","16,30","5,23","2,2","2,2","59,77","59,77"
41%,---,"5,12","0,0",10:03,0:48,Judge,"April 05, 2007","Las Vegas, Nevada, USA",UFC Fight Night: Stevenson vs Guillard,W,L,Welterweight Bout,"W,Kuniyoshi Hironaka,L,Forrest Petz,""The Meat Cleaver""",Kuniyoshi Hironaka,Forrest Petz,Glenn Trowbridge-27 - 30.,Adalaide Byrd-28 - 29.,Doug Crosby-27 - 30.,0,0,Decision - Unanimous,33%,---,"1,3","0,0",3:27,0:00,0,0,61%,12%,"11,18","1,8",1,0,"19,26","1,8",John McCarthy,0,1,3,57%,20%,"26,45","7,35",1,0,5:00,3 Rnd (5-5-5),"4,4","1,3","3,4","3,8","4,14","4,27","19,27","0,0","20,38","4,28","2,3","2,4","115,138","26,54"
50%,---,"1,2","0,0",1:53,0:00,Ankle Lock After Drop to Ground,"April 05, 2007","Las Vegas, Nevada, USA",UFC Fight Night: Stevenson vs Guillard,W,L,Lightweight Bout,"W,Kurt Pellegrino,""Batman"",L,Nate Mohr",Kurt Pellegrino,Nate Mohr,,,,0,0,Submission,50%,---,"1,2","0,0",1:53,0:00,0,0,57%,54%,"4,7","6,11",1,0,"9,12","16,21",Herb Dean,0,0,1,57%,54%,"4,7","6,11",1,0,2:58,3 Rnd (5-5-5),"1,1","2,2","0,0","3,3","0,2","1,3","4,5","2,5","3,6","4,8","0,0","0,1","9,12","16,21"
